chunk,question
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material",
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material", What specific events could lead to a Company Material Adverse Effect according to the document?
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material",
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material"," How are public estimates or expectations of the Company's revenue, earnings, and financial performance important in determining a Company Material Adverse Effect?"
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material",
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material", What is Transaction Litigation and how does it impact the Company and its Subsidiaries?
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material",
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material", What is the significance of the Company Disclosure Letter in relation to determining a Company Material Adverse Effect?
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material",
"(x) changes or proposed changes in GAAP or other accounting standards or Law (or the enforcement or interpretation of any of the foregoing); (xi) changes in the price or trading volume of the Company Common Stock or Indebtedness of the Company and its Subsidiaries, in and of itself (it being understood that any cause of such change may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xii) any failure, in and of itself, by the Company and its Subsidiaries to meet (A) any public estimates or expectations of the Company’s revenue, earnings or other financial performance or results of operations for any period; or (B) any internal budgets, plans, projections or forecasts of its revenues, earnings or other financial performance or results of operations (it being understood that any cause of any such failure may, subject to the other provisions of this definition, be deemed to constitute a Company Material Adverse Effect and may be taken into consideration when determining whether a Company Material Adverse Effect has occurred); (xiii) any Transaction Litigation; and (xiv) any of the matters set forth in Section 1.1(o)(xiv) of the Company Disclosure Letter; provided further, that with respect to clauses (i) through (vii) and (x) of this definition, such Effects shall be taken into account in determining whether a “Company Material Adverse Effect” has occurred or would reasonably be expected to occur, in each case, to the extent that such Effect has had a disproportionate adverse effect on the Company and its Subsidiaries relative to other companies operating in the industries in which the Company and its Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material", How are the Effects outlined in the document measured in comparison to other companies in the same industries as the Company and its Subsidiaries?
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-"," How does the document define ""Company Options""?"
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-"," What is meant by ""Company Preferred Stock"" according to the document?"
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-"," What falls under the category of ""Company Products"" as per the document?"
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-"," What types of rights are included in the term ""Company Stock-Based Award"" in the document?"
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-", How are subsidiaries' business activities considered when determining a Company Material Adverse Effect?
"Subsidiaries conduct business, in which case only the incremental disproportionate adverse impact of such Effect may be taken into account in determining whether there has occurred a Company Material Adverse Effect. (p) “Company Options” means any outstanding options to purchase shares of Company Common Stock granted pursuant to any of the Company Stock Plans. (q) “Company Preferred Stock” means the preferred stock, par value $0.000001 per share, of the Company. (r) “Company Products” means any products, content and services of the Company or its Subsidiaries. (s) “Company Stock-Based Award” means each outstanding right of any kind, contingent or accrued, to receive or retain shares of Company Common Stock or receive a cash payment equal to or based on, in whole or in part, the value of Company Common Stock, in each case, granted pursuant to any of the Company Stock Plans (including performance shares, performance-based units, market stock units, restricted stock, restricted stock units, phantom units, deferred stock units and dividend equivalents), other than Company Options. -5-", Can the adverse impact of a particular effect be taken into account when evaluating a Company Material Adverse Effect in the document?
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," What is included in the definition of ""Company Stock Plans"" according to the document?"
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," Who are considered as ""Company Stockholders"" based on the document?"
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," How are ""Continuing Employees"" defined in the document?"
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," What types of agreements are covered under the term ""Contract"" as per the document?"
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," How is ""COVID-19"" defined in the document?"
"(t) “Company Stock Plans” means (i) the compensatory equity plans set forth in Section 1.1(t) of the Company Disclosure Letter and (ii) any other compensatory equity plans or Contracts of the Company, including option plans or Contracts assumed by the Company pursuant to a merger, acquisition or other similar transaction. (u) “Company Stockholders” means the holders of shares of Company Common Stock. (v) “Continuing Employees” means each individual who is an employee of the Company or any of its Subsidiaries immediately prior to the Effective Time and continues to be an employee of Parent or one of its Subsidiaries (including the Surviving Corporation) immediately following the Effective Time, but only for so long as such individual is so employed. (w) “Contract” means any written contract, subcontract, note, bond, mortgage, indenture, lease, license, sublicense or other binding agreement. (x) “COVID-19” means SARS-Co V-2, SARS-Co V-2 variants or COVID-19. (y) “COVID-19 Measures” means quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar laws, directives, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Authority, including the Centers for Disease Control and Prevention and the World Health Organization, or other reasonable actions taken, in each case, in connection with or in response to COVID-19 and any evolutions, variants or mutations thereof or related or associated epidemics, pandemics or disease outbreaks. (z) “Credit Facility” means the revolving credit facility commitments extended to the Company pursuant to the terms and conditions of the Credit Facility Agreement. (aa) “Credit Facility Agreement” means the Credit Agreement, dated as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of"," What is meant by ""COVID-19 Measures"" in the context of the document?"
"as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of November 2, 2015, the Second Amendment, dated as of November 13, 2015, the Third Amendment, dated as of December 14, 2015, the Fourth Amendment, dated as of March 31, 2016, the Fifth Amendment, dated as of August 23, 2016, the Sixth Amendment, dated as of February 3, 2017, and the Seventh Amendment, dated as of August 24, 2018. (bb) “DOJ” means the United States Department of Justice or any successor thereto. (cc) “Environmental Law” means any Law relating to pollution, the protection of the environment (including ambient air, surface water, groundwater or land) or exposure of any Person with respect to Hazardous Substances or otherwise relating to the production, use, storage, treatment, transportation, recycling, disposal, discharge, release or other handling of any Hazardous Substances, or the investigation, clean- up or remediation thereof. -6-", When was the Seventh Amendment dated?
"as of October 11, 2013, among the Company, the guarantors party thereto, Bank of America, N.A., as administrative agent, and the other parties thereto, as amended by the First Amendment, dated as of November 2, 2015, the Second Amendment, dated as of November 13, 2015, the Third Amendment, dated as of December 14, 2015, the Fourth Amendment, dated as of March 31, 2016, the Fifth Amendment, dated as of August 23, 2016, the Sixth Amendment, dated as of February 3, 2017, and the Seventh Amendment, dated as of August 24, 2018. (bb) “DOJ” means the United States Department of Justice or any successor thereto. (cc) “Environmental Law” means any Law relating to pollution, the protection of the environment (including ambient air, surface water, groundwater or land) or exposure of any Person with respect to Hazardous Substances or otherwise relating to the production, use, storage, treatment, transportation, recycling, disposal, discharge, release or other handling of any Hazardous Substances, or the investigation, clean- up or remediation thereof. -6-"," What does ""DOJ"" stand for in the document?"
